iter	Passed	Remaining
807	1570	373
808	1572	371
809	1575	369
810	1577	367
811	1579	365
812	1581	363
813	1582	361
814	1584	359
815	1586	357
816	1588	355
817	1590	353
818	1591	351
819	1593	349
820	1595	347
821	1597	345
822	1598	343
823	1600	341
824	1602	339
825	1604	337
826	1606	335
827	1607	333
828	1609	331
829	1611	329
830	1612	327
831	1614	326
832	1616	324
833	1618	322
834	1619	320
835	1621	318
836	1623	316
837	1624	314
838	1626	312
839	1628	310
840	1629	308
841	1631	306
842	1633	304
843	1634	302
844	1636	300
845	1637	298
846	1639	296
847	1641	294
848	1643	292
849	1644	290
850	1646	288
851	1648	286
852	1650	284
853	1652	282
854	1653	280
855	1655	278
856	1657	276
857	1658	274
858	1660	272
859	1662	270
860	1664	268
861	1665	266
862	1667	264
863	1669	262
864	1670	260
865	1672	258
866	1673	256
867	1675	254
868	1676	252
869	1679	250
870	1681	248
871	1682	247
872	1684	245
873	1686	243
874	1687	241
875	1689	239
876	1690	237
877	1692	235
878	1694	233
879	1696	231
880	1697	229
881	1699	227
882	1701	225
883	1702	223
884	1704	221
885	1706	219
886	1708	217
887	1710	215
888	1712	213
889	1714	211
890	1716	209
891	1717	207
892	1719	206
893	1721	204
894	1723	202
895	1724	200
896	1726	198
897	1728	196
898	1729	194
899	1731	192
900	1733	190
901	1734	188
902	1736	186
903	1738	184
904	1740	182
905	1742	180
906	1744	178
907	1746	176
908	1747	174
909	1749	173
910	1751	171
911	1752	169
912	1754	167
913	1756	165
914	1758	163
915	1759	161
916	1761	159
917	1763	157
918	1764	155
919	1766	153
920	1768	151
921	1769	149
922	1771	147
923	1772	145
924	1774	143
925	1775	141
926	1777	139
927	1779	138
928	1780	136
929	1782	134
930	1784	132
931	1786	130
932	1788	128
933	1789	126
934	1791	124
935	1792	122
936	1794	120
937	1796	118
938	1798	116
939	1799	114
940	1801	112
941	1803	111
942	1804	109
943	1806	107
944	1808	105
945	1809	103
946	1811	101
947	1813	99
948	1815	97
949	1816	95
950	1818	93
951	1820	91
952	1822	89
953	1823	87
954	1825	86
955	1827	84
956	1829	82
957	1830	80
958	1832	78
959	1834	76
960	1836	74
961	1837	72
962	1839	70
963	1841	68
964	1842	66
965	1844	64
966	1846	63
967	1848	61
968	1849	59
969	1851	57
970	1852	55
971	1854	53
972	1856	51
973	1858	49
974	1859	47
975	1861	45
976	1863	43
977	1864	41
978	1866	40
979	1868	38
980	1870	36
981	1871	34
982	1873	32
983	1875	30
984	1876	28
985	1878	26
986	1880	24
987	1881	22
988	1883	20
989	1885	19
990	1886	17
991	1888	15
992	1890	13
993	1891	11
994	1893	9
995	1895	7
996	1896	5
997	1898	3
998	1900	1
999	1902	0
